t,v,u,phi
0.00593333333333,-0.427417114843,0.508914994072,0.00151419512349
0.006,-0.398730821486,0.511695088559,0.00121119553943
0.00606666666667,-0.377784927511,0.52734088974,0.0011710745247
0.00613333333333,-0.356935771923,0.531498602181,0.00142435905575
0.0062,-0.323948111937,0.516768111861,0.00115168243693
0.00626666666667,-0.291230484927,0.498329134186,0.00113692136685
0.00633333333333,-0.265775544993,0.487329196762,0.00131165785408
0.0064,-0.2377233738,0.478215714383,0.00117891397089
0.00646666666667,-0.211051870176,0.470077244371,0.000835210310817
0.00653333333333,-0.181680664555,0.450693972424,0.000321639067466
0.0066,-0.156685939048,0.430689815142,0.000348004988329
0.00666666666667,-0.138263240794,0.427998872917,0.000427256649765
0.00673333333333,-0.121497129698,0.430174610309,0.000445611302009
0.0068,-0.109138746843,0.426178899118,0.00055309679382
0.00686666666667,-0.0812428320775,0.420102154743,0.000249572103668
0.00693333333333,-0.0577529460745,0.405324114548,-0.000209931222723
0.007,-0.0501936850953,0.389161452207,0.000428049092696
0.00706666666667,-0.0199955403977,0.369012594082,-0.000110447170782
0.00713333333333,-0.0167224358287,0.36494696263,0.000442273556126
0.0072,0.00356100038853,0.355656066062,-0.000119533289868
0.00726666666667,0.014406435529,0.348734439848,-4.96221035457e-05
0.00733333333333,0.0228336951004,0.328036537383,0.000137164100656
0.0074,0.0295024132792,0.308555607705,0.000135769209497
0.00746666666667,0.0369034621483,0.304697840107,0.000249239858658
0.00753333333333,0.0466408972838,0.307543208933,-0.000239297418981
0.0076,0.0551604635716,0.308839109523,-0.000118431184966
0.00766666666667,0.0685798097981,0.278668341137,-0.000357117016612
0.00773333333333,0.0706162197826,0.265158815195,1.59566950483e-05
0.0078,0.070232530375,0.265460757002,0.000266593304245
0.00786666666667,0.0750150535831,0.253825657065,-7.0587003355e-05
0.00793333333333,0.0790794186976,0.232451990656,0.00012471483611
0.008,0.0739041299137,0.206161356892,-0.000150966985273
0.00806666666667,0.0648334831785,0.208773226484,0.000644842685811
0.00813333333333,0.0681191734638,0.207720605088,0.00049218951005
0.0082,0.0716838842523,0.186012374753,-8.69956089178e-05
0.00826666666667,0.0638734012262,0.163256521268,0.000253561306094
0.00833333333333,0.0718946140256,0.134069560176,-5.27853171166e-05
0.0084,0.0596145040773,0.117263192928,0.000108012164773
0.00846666666667,0.0528039784013,0.107255150427,0.000130236444158
0.00853333333333,0.0354178700791,0.0990629612723,0.000178392025648
0.0086,0.0196361391769,0.0762103156794,0.000828286870112
0.00866666666667,0.0213497414295,0.0504045371171,0.000419660035881
0.00873333333333,0.00634801837335,0.0481597760495,0.000406718432057
0.0088,-0.00111694831537,0.0330117034911,0.000345037522446
0.00886666666667,-0.0141022803427,0.000923545812885,0.000423149445969
0.00893333333333,-0.0336138636592,-0.0075268411932,0.000756871409946
0.009,-0.0453783457588,-0.0178329425216,0.000534587987362
0.00906666666667,-0.0575352231052,-0.0221553328156,0.000549234466235
0.00913333333333,-0.0685430590434,-0.0405051496107,0.000209356649536
0.0092,-0.0920284760725,-0.0555623480338,0.000542829717227
0.00926666666667,-0.121927696329,-0.0669495769355,0.000928899932315
0.00933333333333,-0.140891689772,-0.0899438428651,0.000959647910176
0.0094,-0.170098950512,-0.0924862545309,0.00131583736347
0.00946666666667,-0.194314987741,-0.0994709898666,0.00139267617196
0.00953333333333,-0.2263821914,-0.109951457951,0.00150324776184
0.0096,-0.248191555571,-0.135743829742,0.00151949398379
0.00966666666667,-0.270165829387,-0.142157914968,0.0019850172584
0.00973333333333,-0.300959633962,-0.140720532894,0.00220006224193
0.0098,-0.324965828534,-0.141211075579,0.00210750352372
0.00986666666667,-0.359950505909,-0.139607911791,0.0026001520302
0.00993333333333,-0.390806829794,-0.142423133253,0.00245770067257
0.01,-0.416759700323,-0.140792398191,0.0026043269008
0.0100666666667,-0.447731019359,-0.141035036908,0.0027082395492
0.0101333333333,-0.47272368356,-0.132447603879,0.00266168134533
0.0102,-0.491887019665,-0.147199892162,0.00253558682578
0.0102666666667,-0.526330428212,-0.147012419509,0.00299857750704
0.0103333333333,-0.554548487361,-0.151317179259,0.00283701897013
0.0104,-0.580852706628,-0.136114804907,0.0027510691196
0.0104666666667,-0.603268634831,-0.129094361017,0.00261693086538
0.0105333333333,-0.622656082923,-0.13778810511,0.00207790084751
0.0106,-0.644819490865,-0.152937505194,0.00207337758635
0.0106666666667,-0.676243354223,-0.145438768041,0.00232296100606
0.0107333333333,-0.701081237462,-0.12985871801,0.0023403064629
0.0108,-0.725316934848,-0.122852509893,0.00192103082107
0.0108666666667,-0.74527706192,-0.127487003466,0.00184849907002
0.0109333333333,-0.755060800106,-0.132003798876,0.00119630616511
0.011,-0.779880697131,-0.124388024549,0.00158285854807
0.0110666666667,-0.802743757882,-0.115908567417,0.00111886630514
0.0111333333333,-0.821663658346,-0.115037095014,0.00078123390523
0.0112,-0.838843606109,-0.0985013065645,0.000776004232149
0.0112666666667,-0.856709166361,-0.0899352720134,0.000853559462075
0.0113333333333,-0.876185311261,-0.0762095817039,0.00109438722015
0.0114,-0.886952849146,-0.0798293709469,0.000599487082843
0.0114666666667,-0.898274337028,-0.0688232178907,8.7508694208e-05
0.0115333333333,-0.918253548914,-0.051461622572,8.02555759888e-05
0.0116,-0.931011438687,-0.049267359703,4.28899370131e-05
0.0116666666667,-0.938196105474,-0.0484183271713,-0.000182417369211
0.0117333333333,-0.941621591479,-0.0396049809283,-0.000318599155762
0.0118,-0.959995951818,-0.0125060573523,-0.000278054078368
0.0118666666667,-0.973601547724,0.0137325657631,-0.000523459204478
